toppings_id,extra_cheese,peperoni,olives,spinach,peppers,buffalo_chicken
1,1,0,0,0,0,0
2,1,0,0,0,0,1
3,0,0,0,0,1,0
4,0,0,0,0,1,1
5,0,0,0,1,0,0
6,0,0,0,1,0,1
7,0,0,0,1,1,0
8,0,0,0,1,1,1
9,0,0,1,0,0,0
10,1,0,1,0,0,1
11,1,0,1,0,1,0
12,0,0,1,0,1,1
13,0,0,1,1,0,0
14,0,0,1,1,0,1
15,0,0,1,1,1,0
16,0,0,1,1,1,1
17,0,1,0,0,0,0
18,0,1,0,0,0,1
19,1,1,0,0,1,0
20,1,1,0,0,1,1
21,0,1,0,1,0,0
22,1,1,0,1,0,1
23,1,1,0,1,1,0
24,0,1,0,1,1,1
25,1,1,1,0,0,0
26,1,1,1,0,0,1
27,0,1,1,0,1,0
28,1,1,1,0,1,1
29,1,1,1,1,0,0
30,0,1,1,1,0,1
